ond,avg_daily_searches,nb_days
BSL-ANK,36.0,1
SXB-AMS,36.0,1
BSL-ALC,36.0,1
TLS-MEL,36.0,1
TLS-INN,36.0,1
MPL-SFO,36.0,1
TLS-MUC,36.0,1
BSL-DIY,36.0,1
TUF-RAK,36.0,1
LYS-PPT,36.0,1
BOD-TBS,36.0,1
PIS-RAK,36.0,1
PAR-GOI,36.0,1
MRS-PFO,36.0,1
MRS-BEY,36.0,1
NCE-SOF,36.0,1
PAR-KTT,36.0,1
PAR-NCL,36.0,1
PAR-ZTH,36.0,1
RNS-BIQ,36.0,1
SXB-YTO,36.0,1
LYS-CAI,35.0,1
NCE-SFO,35.0,1
MRS-TNG,35.0,1
PAR-SAC,35.0,1
BSL-CPH,35.0,1
TLS-BRU,35.0,1
PAR-SYR,35.0,1
TLS-MRS,35.0,1
PAR-POA,35.0,1
MPL-BRU,35.0,1
NCE-RNS,35.0,1
PAR-CEB,35.0,1
FSC-OPO,35.0,1
NCE-DPS,35.0,1
BSL-VLC,35.0,1
MRS-TYO,35.0,1
MRS-TLV,35.0,1
MRS-SAO,35.0,1
LDE-PAR,35.0,1
TLS-FDF,34.0,1
NCE-DJE,34.0,1
RNS-TLS,34.0,1
TLS-HAM,34.0,1
MRS-RIO,34.0,1
PAR-PSP,34.0,1
PAR-MSQ,34.0,1
MRS-CHQ,34.0,1
RNS-NCE,34.0,1
MPL-CAS,34.0,1
PAR-PER,34.0,1
BSL-IEV,34.0,1
BOD-FEZ,34.0,1
LYS-FEZ,34.0,1
CFE-INN,34.0,1
LYS-SSH,34.0,1
CFE-MRU,34.0,1
PAR-PBI,34.0,1
MPL-CLY,34.0,1
BOD-CTA,34.0,1
NTE-MUC,34.0,1
PAR-VXE,34.0,1
CFR-AJA,34.0,1
TLS-TNG,34.0,1
PAR-GDL,34.0,1
TLS-MRU,34.0,1
LYS-SRZ,34.0,1
BSL-GZT,33.0,1
PAR-SLC,33.0,1
BSL-BRU,33.0,1
CFE-OPO,33.0,1
PAR-LHE,33.0,1
BSL-TBS,33.0,1
PAR-PRI,33.0,1
BSL-EDI,33.0,1
BES-MRS,33.0,1
PAR-FMO,33.0,1
TLS-SJO,33.0,1
LIL-DXB,33.0,1
MRS-CLE,33.0,1
